Economic Sector,Status,Zipcode,Company,Job Title,Origin Country,Pay
Educational Services,Accepted,10115,COOKE CENTER FOR LEARNING AND DEVELOPMENT,Preschool Teachers; Except Special Education,CANADA,42390
Hospitality,Denied,11215,DIBELLA CORP.,Cooks; Restaurant,MEXICO,34237
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,SOUTH KOREA,119621
Finance,Denied,10170,MULTINATIONAL BENEFIT ASSOCIATES; INC.,Marketing Managers,MEXICO,88712
Other Economic Sector,Accepted,11101,Y2S TRADING INC.,Graphic Designers,SOUTH KOREA,47715
Other Economic Sector,Accepted,10017,SDIL INC,Market Research Analysts,INDIA,58282
Advanced Mfg,Denied,10018,INTERMARKET APPAREL LLC,First-Line Supervisors/Managers of Production and Operating Workers,INDIA,73091
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,GHANA,84300
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,117312
Other Economic Sector,Accepted,10017,SIMPSON THACHER & BARTLETT LLP,Lawyers,BULGARIA,126838
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,117312
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,84885
IT,Denied,10005,DATA PIONEER INC,Computer Software Engineers; Applications,INDIA,68661
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,INDIA,86965
IT,Accepted,10022,KDDI AMERICA; INC.,Network Systems and Data Communications Analysts,TURKEY,60424
Finance,Accepted,10281,NOMURA AMERICA SERVICES; LLC,Computer Software Engineers; Applications,INDIA,84885
Retail,Accepted,11367,BRACHS GLATT MEAT MARKET; INC.,Food Service Managers,TRINIDAD AND TOBAGO,62525
Construction,Accepted,11220,NSR II COMPANY INC,Cabinetmakers and Bench Carpenters,POLAND,33571
Finance,Withdrawn,10282,GOLDMAN; SACHS & CO.,Financial Analysts,INDIA,136989
Finance,Accepted,10022,BLADEX ASSET MANAGEMENT,Sales Agents; Securities and Commodities,LITHUANIA,163134
Construction,Accepted,11222,POLTEAM RENOVATION CORP.,Purchasing Managers,POLAND,125944
Health Care,Accepted,11377,THE CHILD CENTER OF NY; INC.,Mental Health and Substance Abuse Social Workers,HONG KONG,46627.99
Health Care,Accepted,11377,THE CHILD CENTER OF NY; INC.,Mental Health and Substance Abuse Social Workers,SOUTH KOREA,46627.99
Other Economic Sector,Denied,11373,UNITED STAFFING REGISTRY DBA UNITED HOME CARE,Medical and Health Services Managers,PHILIPPINES,113402
Finance,Accepted,10105,ALLIANCEBERNSTEIN L.P.,Computer Software Engineers; Applications,INDIA,117707.2
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Operations Research Analysts,INDIA,57054
IT,Denied,10004,AMTEX SYSTEMS; INC.,Construction Managers,CANADA,105373
Other Economic Sector,Accepted,10024,PHYLLIS GOLDEN-NACEY,Cooks; Private Household,PHILIPPINES,26686
Finance,Withdrawn,10019,BARCLAYS SERVICES CORP,Computer Software Engineers; Applications,INDIA,117312
Finance,Withdrawn,10010,AMR CAPITAL TRADING CORP.,Financial Analysts,BULGARIA,86965
IT,Accepted,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,84885
IT,Denied,10016,MPHASIS CORPORATION,Computer and Information Systems Managers,INDIA,123573
Hospitality,Denied,10002,EVROS RESTAURANT; CORP. D/B/A OLYMPIC RESTAURANT,Chefs and Head Cooks,POLAND,80933
Hospitality,Denied,10019,BISTRO 1285 INC.,Cooks; Restaurant,MEXICO,29869
Finance,Accepted,10005,DEUTSCHE BANK,Economists,ARGENTINA,114462
Other Economic Sector,Denied,10028,LA RESERVE; INC.,General and Operations Managers,FRANCE,155688
Other Economic Sector,Denied,11106,THERAPEUTIC RESOURCES PHYSICAL THERAPY,Occupational Therapists,PHILIPPINES,63898
Finance,Denied,10017,BERDON LLP,Accountants and Auditors,INDIA,104562
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Reporters and Correspondents,CHINA,48568
IT,Accepted,10004,SYSTEM PRODUCE AMERICA CORP.,Budget Analysts,JAPAN,46696
IT,Withdrawn,10005,EBUSINESSWARE; INC.,Computer Software Engineers; Applications,INDIA,68661
IT,Withdrawn,10005,EBUSINESSWARE; INC.,Computer Software Engineers; Applications,INDIA,68661
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Managers; Branch or Department,INDIA,195499
IT,Accepted,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Computer Software Engineers; Applications,NEPAL,84885
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Systems Analysts,INDIA,103834
Other Economic Sector,Accepted,11355,MARICA ENTERPRISES; INC.,Budget Analysts,PHILIPPINES,56306
Finance,Accepted,10036,1199SEIU BENEFIT AND PENSION FUNDS,Computer Programmers,TURKEY,50752
Retail,Accepted,11373,ELMHURST STAR PHARMACY INC,First-Line Supervisors/Managers of Retail Sales Workers,INDIA,56930
Other Economic Sector,Accepted,10024,SUSAN HITZIG,Child Care Workers,PHILIPPINES,18762
Hospitality,Accepted,10001,JIN GO GAE; INC.,Bookkeeping; Accounting; and Auditing Clerks,SOUTH KOREA,47507
Finance,Withdrawn,11222,METRO BUSINESS CENTER; INC.,Market Research Analysts,POLAND,43784
Construction,Accepted,11206,IMPERIUM CONSTRUCTION INC.,Fine Artists; Including Painters; Sculptors; and Illustrators,POLAND,60819
Advanced Mfg,Accepted,11378,ROLLO MIO LLC,Bakers,MEXICO,32469
Advanced Mfg,Accepted,11354,CRYSTAL WINDOW & DOOR SYSTEMS; LTD.,Personnel Recruiters,TAIWAN,54413
Other Economic Sector,Accepted,10018,RELIQ; INC.,Graphic Designers,INDIA,47715
Finance,Accepted,10005,AMERICAN INTERNATIONAL GROUP; INC.,Computer Software Engineers; Applications,INDIA,84885
Not Available,Accepted,10001,VIVARO CORPORATION,Interpreters and Translators,ARGENTINA,69472
Not Available,Accepted,11377,PROFESSIONAL PLACEMENT & RECRUITMENT INC.,Marketing Managers,PHILIPPINES,95846.4
Hospitality,Denied,10002,EVROS RESTAURANT; CORP. D/B/A OLYMPIC RESTAURANT,Chefs and Head Cooks,POLAND,80933
Finance,Accepted,10019,BARCLAYS CAPITAL INC.,Operations Research Analysts,CHINA,80059
IT,Accepted,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Computer Software Engineers; Applications,INDIA,84885
Other Economic Sector,Accepted,10020,TIME INC.,Editors,MEXICO,101109
Advanced Mfg,Denied,10018,MERCHANDISE TEXTILES & CADS; INC,Financial Managers,INDIA,104562
Not Available,Accepted,10003,SHINDIG INC.,Computer and Information Systems Managers,INDIA,123573
Finance,Accepted,10043,CITIGROUP GLOBAL MARKETS INC.,Financial Analysts,INDIA,136989
IT,Accepted,10017,EGAR TECHNOLOGY INC,Computer Systems Analysts,RUSSIA,68661
Other Economic Sector,Accepted,10018,VENIO LLC D/B/A KEANE,Database Administrators,INDIA,54662
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Software Engineers; Applications,INDIA,101088
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Software Engineers; Applications,INDIA,101088
Other Economic Sector,Accepted,10022,DEBEVOISE & PLIMPTON LLP,Lawyers,JAMAICA,126838
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Auditors,HONG KONG,104562
Finance,Accepted,10020,THE BANK OF TOKYO-MITSUBISHI UFJ; LTD.,Computer Software Engineers; Applications,INDIA,117312
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Financial Managers; Branch or Department,INDIA,179130
Other Economic Sector,Denied,11232,MCDONALD AVE PAPER & PLASTIC DISTRIBUTORS INC,First-Line Supervisors/Managers of Helpers; Laborers; and Material Movers; Hand,MEXICO,49525
IT,Accepted,10003,OPENCROWD; INC.,Computer Software Engineers; Applications,INDIA,84885
Educational Services,Accepted,11101,LAGUARDIA COMMUNITY COLLEGE,English Language and Literature Teachers; Postsecondary,BANGLADESH,42873
Educational Services,Accepted,11101,LAGUARDIA COMMUNITY COLLEGE,English Language and Literature Teachers; Postsecondary,POLAND,42873
Other Economic Sector,Denied,10003,MELTZER/MANDL ARCHITECTS; P.C.,Designers; All Other,SOUTH KOREA,70054
Finance,Accepted,10017,ITG INC.,Operations Research Analysts,FRANCE,57054
Other Economic Sector,Accepted,10003,AREA INCORPORATED,Commercial and Industrial Designers,ISRAEL,83866
Other Economic Sector,Accepted,10027,COLUMBIA DAY SPA,Skin Care Specialists,NEPAL,43514
Finance,Accepted,10041,DEPOSITORY TRUST & CLEARING CORPORATION,Database Administrators,INDIA,85862
Aerospace,Accepted,10013,OVE ARUP & PARTNERS PC,Fire-Prevention and Protection Engineers,SOUTH KOREA,65749
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Software Engineers; Applications,INDIA,117312
IT,Accepted,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,84885
Finance,Accepted,10006,N.E.E. CONSULTING; LTD.,Administrative Services Managers,RUSSIA,104562
Construction,Accepted,11368,TULLY CONSTRUCTION CO INC,Bus and Truck Mechanics and Diesel Engine Specialists,PORTUGAL,58510
Finance,Accepted,10022,BLACKROCK INVESTMENT MANAGEMENT LLC,Computer Systems Analysts,GERMANY,103834
Finance,Accepted,10016,DINOSAUR SECURITES LLC,Sales Agents; Securities and Commodities,VENEZUELA,124155
Finance,Accepted,10022,GAYER ASSOCIATES,Financial Analysts,POLAND,86965
Not Available,Accepted,10038,ISAAC GROUP; LLC,Operations Research Analysts,PHILIPPINES,56950.4
Other Economic Sector,Accepted,10036,JENSEN & JENSEN,Law Clerks,CHINA,38646
Other Economic Sector,Denied,11222,ETS CONTRACTING; INC.,Executive Secretaries and Administrative Assistants,POLAND,55245
Other Economic Sector,Accepted,10001,ARUN MISRA; P.C.,Paralegals and Legal Assistants,NEPAL,53414
Finance,Accepted,10022,LOUIS CAPITAL MARKETS; LP,Financial Managers; Branch or Department,FRANCE,160680
Advanced Mfg,Accepted,10154,BRISTOL MYERS SQUIBB COMPANY,Marketing Managers,INDIA,148200
Advanced Mfg,Denied,11356,KALINIC CONSTRUCTION; INC.,Cabinetmakers and Bench Carpenters,POLAND,39666
Other Economic Sector,Accepted,10018,CONNEXXIONS INTERNATIONAL USA; INC.,Fashion Designers,GERMANY,79622
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Operations Research Analysts,BELGIUM,103085
Advanced Mfg,Accepted,10001,CHAIN & FANTASIA; INC.,Management Analysts,SOUTH KOREA,78645
Finance,Accepted,10281,RBC CAPITAL MARKETS; LLC,Computer and Information Systems Managers,CHINA,149448
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,RUSSIA,136989
Finance,Withdrawn,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Financial Analysts,INDIA,86965
Other Economic Sector,Denied,11105,ASTORIA VETERINARY GROUP,Accountants and Auditors,JAPAN,none
IT,Accepted,10010,NETSOFT HOLDINGS LLC,Computer Software Engineers; Applications,TURKEY,69451.2
IT,Withdrawn,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,84885
Not Available,Accepted,10016,NANODYNAMICS-88; INC.,Budget Analysts,CHINA,none
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,84885
Retail,Denied,11368,NEO WORLD HEALTH CLUB;INC.,First-Line Supervisors/Managers of Personal Service Workers,SOUTH KOREA,54288
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,84885
Finance,Accepted,10036,MORGAN STANLEY INVESTMENT MGMT.; INC.,Financial Analysts,TURKEY,74100
Other Economic Sector,Accepted,10017,SIMPSON THACHER & BARTLETT LLP,Lawyers,SPAIN,126838
Other Economic Sector,Accepted,10001,GLORIA APPAREL INC,Operations Research Analysts,SOUTH KOREA,80059
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Software Engineers; Applications,CHINA,84885
Other Economic Sector,Accepted,10036,THOMSON REUTERS MARKETS LLC,Computer Software Engineers; Applications,INDIA,71864
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Marketing Managers,INDIA,121098
Other Economic Sector,Accepted,10018,MEDIACOM WORLDWIDE INC.,Advertising and Promotions Managers,ARGENTINA,70824
Other Economic Sector,Accepted,10018,ESPRIT US RETAIL; LTD.,Marketing Managers,CANADA,187221
Other Economic Sector,Accepted,10178,INTERCEPT INTERACTIVE DBA UNDERTONE NETWORKS,Computer Systems Analysts,INDIA,109616
Not Available,Denied,10019,INSIGHT COMMUNICATIONS COMPANY INC.,Chief Executives,UNITED KINGDOM,166754
IT,Withdrawn,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,84885
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,84885
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,117312
Finance,Accepted,10020,SG AMERICAS SECURITIES; LLC,Financial Managers; Branch or Department,UNITED KINGDOM,195499
Other Economic Sector,Accepted,11377,THE CHILD CENTER OF NY,Mental Health Counselors,SOUTH KOREA,39187
Other Economic Sector,Accepted,11238,NEW YORK EQUIPMENT DEALERS INC.,Home Appliance Repairers,MEXICO,38293
Finance,Accepted,10104,AXA EQUITABLE LIFE INSURANCE COMPANY,Computer Software Engineers; Applications,INDIA,117312
Advanced Mfg,Accepted,10018,CRUMBS EAST BAKESHOP II; LLC,Chefs and Head Cooks,CZECH REPUBLIC,80933
IT,Accepted,10279,PORTWARE; LLC,Computer and Information Systems Managers,UNITED KINGDOM,175302
Finance,Withdrawn,10020,SOCIETE GENERALE ENERGY CORP.,Financial Analysts,CHINA,86965
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,84885
Advanced Mfg,Accepted,10003,J. CREW,Management Analysts,VENEZUELA,89086
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer Software Engineers; Systems Software,INDIA,120037
Other Economic Sector,Accepted,10003,WEITZ & LUXENBERG; P.C.,Computer Software Engineers; Applications,INDIA,68661
Finance,Accepted,10036,TENOR CAPITAL MANAGEMENT COMPANY LP,Financial Analysts,PAKISTAN,136989
Other Economic Sector,Accepted,10178,CURTIS; MALLET-PREVOST; COLT & MOSLE LLP,Lawyers,ITALY,87568
Finance,Accepted,10043,CITICORP CREDIT SERVICES; INC. (USA),Credit Analysts,ECUADOR,53394
Other Economic Sector,Accepted,10017,YOUNG & RUBICAM NEW YORK,Copy Writers,SPAIN,67434
Other Economic Sector,Accepted,10018,SUNDANCE MANAGEMENT GROUP LLC,Fine Artists; Including Painters; Sculptors; and Illustrators,POLAND,60819
Construction,Denied,10011,DURR MECHANICAL CONSTRUCTION; INC.,Mechanical Engineers,JAMAICA,55224
Health Care,Accepted,10019,ST. LUKES-ROOSEVELT HOSPITAL CENTER,Psychiatrists,CANADA,92935
Advanced Mfg,Accepted,10036,BETA USA INC.,Sales Managers,ISRAEL,155688
Other Economic Sector,Accepted,10002,UNIVERSITY SETTLEMENT,Mental Health and Substance Abuse Social Workers,COLOMBIA,36608
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Credit Analysts,CHINA,84510
Retail,Accepted,10014,RAG & BONE INDUSTRIES; LLC,Fashion Designers,SOUTH KOREA,61693
Finance,Accepted,10017,WARBURG PINCUS LLC,Financial Analysts,SENEGAL,111966
Finance,Denied,10017,WARBURG PINCUS LLC,Financial Analysts,RUSSIA,111966
Other Economic Sector,Accepted,10036,JENSEN & JENSEN,Law Clerks,JAPAN,47341
Other Economic Sector,Accepted,10279,VERA INSTITUTE OF JUSTICE; INC.,Mental Health Counselors,UNITED KINGDOM,32240
Other Economic Sector,Denied,10128,ANDREW BLAUNER,Maids and Housekeeping Cleaners,ST LUCIA,38085
Advanced Mfg,Accepted,10065,MAXEAN FIRST; INC. D/B/A OXFORD CLEANERS,Laundry and Dry-Cleaning Workers,MEXICO,16994
Other Economic Sector,Accepted,10018,MITCHELL/MARTIN INC,Computer Software Engineers; Applications,INDIA,68661
Educational Services,Accepted,10012,NEW YORK UNIVERSITY,Biological Science Teachers; Postsecondary,GERMANY,58150
Hospitality,Accepted,10017,16 E 52ND FOOD CORP.,Cooks; Restaurant,SOUTH KOREA,34237
Finance,Accepted,10004,T3 TRADING GROUP,Lawyers,TAIWAN,204984
Other Economic Sector,Accepted,10018,MITCHELL/MARTIN INC,Computer Software Engineers; Applications,INDIA,84885
Educational Services,Accepted,10012,NEW YORK UNIVERSITY,Economics Teachers; Postsecondary,SWEDEN,61350
Other Economic Sector,Denied,10018,RCM TECHNOLOGIES; INC.,Occupational Therapists,PHILIPPINES,53830
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Software Engineers; Applications,INDIA,101088
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Software Engineers; Applications,INDIA,117312
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Operations Research Analysts,INDIA,57054
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Computer Software Engineers; Applications,INDIA,86029
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Computer Software Engineers; Applications,INDIA,86029
Other Economic Sector,Accepted,11354,FULL GOSPEL NEW YORK CHURCH,Executive Secretaries and Administrative Assistants,SOUTH KOREA,63211
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Software Engineers; Applications,RUSSIA,101088
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Systems Analysts,INDIA,105456
Hospitality,Accepted,11103,Y.N.L.C. CAFE CORP.;,Chefs and Head Cooks,CYPRUS,80933
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Financial Analysts,CANADA,61942
IT,Accepted,10013,THE MILL GROUP; INC.,Producers,UNITED KINGDOM,148803
Other Economic Sector,Accepted,10013,RAFAEL VINOLY ARCHITECTS PC,Architects; Except Landscape and Naval,JAPAN,70054
Construction,Denied,10314,AMBER LITE ELECTRIC CORP.,Management Analysts,POLAND,74360
Advanced Mfg,Accepted,10014,THEORY LLC,Fashion Designers,JAPAN,97573
Finance,Accepted,10017,TRICADIA HOLDINGS; L.P.,Financial Analysts,INDIA,111966
Advanced Mfg,Accepted,10154,BRISTOL MYERS SQUIBB COMPANY,Chemical Engineers,NIGERIA,69098
Finance,Accepted,10010,CREDIT SUISSE ASSET MANAGEMENT; LLC,Financial Analysts,INDIA,86965
Other Economic Sector,Denied,10118,EAST 110TH STREET LLC,Market Research Analysts,PARAGUAY,58282
IT,Accepted,10017,IPG GIS US; INC,Financial Managers; Branch or Department,UNITED KINGDOM,91062
Advanced Mfg,Accepted,10036,VALENTINO U.S.A.; INC.,Public Relations Managers,BRAZIL,142834
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Software Engineers; Applications,INDIA,117312
Finance,Accepted,10022,VIRTU FINANCIAL LLC,Financial Analysts,SOUTH KOREA,86965
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Compensation; Benefits; and Job Analysis Specialists,INDIA,76107
Other Economic Sector,Accepted,10001,BILL SMITH STUDIO,Graphic Designers,JAPAN,70408
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Credit Analysts,INDIA,84510
IT,Accepted,10020,INSIGMA US INC.,Computer Systems Analysts,CHINA,75629
Finance,Accepted,10019,BARCLAYS CAPITAL INC.,Financial Analysts,SOUTH KOREA,136989
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Software Engineers; Applications,INDIA,117312
Health Care,Accepted,10029,MOUNT SINAI MEDICAL CENTER,Database Administrators,INDIA,83075
Construction,Accepted,11220,NSR II COMPANY INC,Cabinetmakers and Bench Carpenters,POLAND,33571
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Auditors,INDIA,102128
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Lawyers,GERMANY,123156.8
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Credit Analysts,INDIA,84510
Health Care,Denied,11229,ACUPUNCTURE HEALTHCARE PLAZA II; P.C,Health Diagnosing and Treating Practitioners; All Other,CHINA,57761.6
Aerospace,Accepted,10001,MG ENGINEERING P.C.,Operations Research Analysts,TURKEY,57054
Finance,Accepted,10019,1ST FINANCIAL FUNDING & INVESTMENT CORPORATION,Credit Analysts,INDIA,134826
Finance,Accepted,10007,MOODYS INVESTORS SERVICE; INC.,Financial Analysts,FRANCE,86965
Health Care,Accepted,11354,K H K REHAB; CORP.,Medical and Health Services Managers,SOUTH KOREA,93642
Hospitality,Accepted,11211,PIADAPLANET INC DBA IL PAIOLO,Cooks; Restaurant,MEXICO,none
Advanced Mfg,Accepted,10018,JONATHAN APPAREL; INC,Tailors; Dressmakers; and Custom Sewers,MEXICO,33821
Finance,Denied,10007,FXDIRECT DEALER; LLC,Computer Software Engineers; Applications,INDIA,117312
Not Available,Accepted,10038,INTERNATIONAL AIDS VACCINE INITIATIVE (IAVI),Human Resources Managers; All Other,KENYA,135075
Finance,Accepted,10019,BARCLAYS CAPITAL INC.,Financial Analysts,INDIA,136989
IT,Accepted,10118,IMAGINEER TECHNOLOGY GROUP; INC.,Computer Systems Analysts,UKRAINE,74360
Other Economic Sector,Accepted,10011,MEDIALETS; INC.,Computer Software Engineers; Applications,PAKISTAN,84885
Advanced Mfg,Accepted,10014,THEORY LLC,Fashion Designers,CANADA,97573
Other Economic Sector,Accepted,10003,CLASSIC MEDIA; LLC,Human Resources Managers; All Other,UNITED KINGDOM,135075
IT,Accepted,10018,IT & EBUSINESS CONSULTING SERVICES INC.,Computer Software Engineers; Applications,INDIA,69451.2
Other Economic Sector,Accepted,11356,SPA CASTLE INC.,Accountants,SOUTH KOREA,104562
